Ensembl gene ID	Gene symbol	Chromosome	Transcript start (hg19)	Transcript end (hg19)	P value	False discovery rate
ENSG00000169224	C1orf150	1	247670360	247740992	1.14675251238e-10	<0.01
ENSG00000169403	PTAFR	1	28473677	28520447	2.89748421301e-14	<0.01
ENSG00000169442	CD52	1	26644448	26647014	1.90794356855e-13	<0.01
ENSG00000171488	LRRC8C	1	90098631	90398809	2.26672984835e-12	<0.01
ENSG00000171608	PIK3CD	1	9711790	9789172	1.9249160269e-16	<0.01
ENSG00000173212	MAB21L3	1	116654376	116677861	1.38379049362e-12	<0.01
ENSG00000173369	C1QB	1	22979255	22988031	2.25703385497e-08	<0.01
ENSG00000173372	C1QA	1	22962999	22966175	1.35117351395e-07	<0.01
ENSG00000173846	PLK3	1	45265897	45271662	6.75347753651e-15	<0.01
ENSG00000174175	SELP	1	169558037	169599380	1.89492182616e-09	<0.01
ENSG00000177272	KCNA3	1	111214310	111217655	3.38333094429e-10	<0.01
ENSG00000179639	FCER1A	1	159259504	159278014	5.18129446113e-09	<0.01
ENSG00000179862	CITED4	1	41326729	41328018	1.05482141508e-07	<0.01
ENSG00000182866	LCK	1	32716840	32751766	5.75101357325e-15	<0.01
ENSG00000183347	GBP6	1	89829605	89853719	1.45191929604e-14	<0.01
ENSG00000183508	FAM46C	1	118148556	118170994	1.20548834478e-07	<0.01
ENSG00000184007	PTP4A2	1	32372022	32410457	3.50785053348e-11	<0.01
ENSG00000184371	CSF1	1	110452864	110473614	1.07822917771e-09	<0.01
ENSG00000184588	PDE4B	1	66258197	66840259	1.22763942465e-11	<0.01
ENSG00000185044	ENSG00000185044	1	143354963	143467658	4.11366450668e-09	<0.01
ENSG00000186197	EDARADD	1	236511562	236648026	2.03181875267e-09	<0.01
ENSG00000186517	ARHGAP30	1	161016736	161039760	2.12464418766e-15	<0.01
ENSG00000186827	TNFRSF4	1	1146706	1149518	1.17186488629e-14	<0.01
ENSG00000186891	TNFRSF18	1	1138888	1142071	1.36347347985e-13	<0.01
ENSG00000187554	TLR5	1	223282748	223316624	2.19071911052e-08	<0.01
ENSG00000188404	SELL	1	169659808	169680839	1.98019289343e-14	<0.01
ENSG00000188786	MTF1	1	38279851	38325292	2.05816900212e-08	<0.01
ENSG00000188822	CNR2	1	24197016	24285549	9.12545192046e-14	<0.01
ENSG00000196182	STK40	1	36805225	36851497	2.67990490854e-12	<0.01
ENSG00000196189	SEMA4A	1	156117157	156147543	5.26619993922e-08	<0.01
ENSG00000198160	MIER1	1	67390578	67454302	2.16418577737e-13	<0.01
ENSG00000198520	C1orf228	1	45140364	45191263	5.05810245953e-16	<0.01
ENSG00000198574	SH2D1B	1	162365056	162381928	1.08045564191e-12	<0.01
ENSG00000198734	F5	1	169483404	169555826	3.49176923684e-08	<0.01
ENSG00000198771	RCSD1	1	167599330	167675486	1.81105429615e-15	<0.01
ENSG00000198821	CD247	1	167399877	167487847	2.37170682708e-15	<0.01
ENSG00000198837	DENND4B	1	153901977	153919172	3.8472570385e-14	<0.01
ENSG00000203684	C1orf148	1	228351787	228353213	2.11900590883e-09	<0.01
ENSG00000203710	CR1	1	207669492	207813992	1.75997523473e-16	<0.01
ENSG00000204084	INPP5B	1	38326369	38412729	2.54980991765e-12	<0.01
ENSG00000204160	ZDHHC18	1	27153201	27183391	1.42174501578e-11	<0.01
ENSG00000213516	RBMXL1	1	89445139	89458643	2.11451047707e-08	<0.01
ENSG00000215788	TNFRSF25	1	6521211	6526255	2.40639216837e-14	<0.01
ENSG00000221888	OR1C1	1	247920676	247921982	2.8193595451e-08	<0.01
ENSG00000222009	BTBD19	1	45274154	45281257	2.26981755148e-13	<0.01
ENSG00000223907	ENSG00000223907	1	31984036	31989846	2.45515643533e-10	<0.01
ENSG00000228697	ENSG00000228697	1	168370067	168391894	2.95346044536e-08	<0.01
ENSG00000230250	ENSG00000230250	1	56381282	56410636	4.14817764944e-09	<0.01
ENSG00000231666	ENSG00000231666	1	158101834	158110429	2.38644578601e-08	<0.01
ENSG00000233368	ENSG00000233368	1	149576591	149577296	7.13313212619e-14	<0.01
ENSG00000233791	ENSG00000233791	1	203267886	203274437	2.76030059629e-10	<0.01
ENSG00000234437	ENSG00000234437	1	169411876	169429690	2.42212816149e-09	<0.01
ENSG00000235750	KIAA0040	1	175126123	175162079	8.99025151036e-08	<0.01
ENSG00000238005	ENSG00000238005	1	235093089	235105809	2.50586325115e-10	<0.01
ENSG00000003402	CFLAR	2	201980827	202029033	5.22605903322e-11	<0.01
ENSG00000018280	SLC11A1	2	219246752	219261617	1.16905828854e-10	<0.01
ENSG00000030419	IKZF2	2	213864429	214017151	3.88609453587e-16	<0.01
ENSG00000042493	CAPG	2	85621346	85645555	2.75891806083e-08	<0.01
ENSG00000054219	LY75	2	160628362	160761260	1.02234676135e-12	<0.01
ENSG00000059728	MXD1	2	70124820	70170077	1.18754595121e-15	<0.01
ENSG00000064012	CASP8	2	202098166	202152434	1.71236177124e-14	<0.01
ENSG00000065413	ANKRD44	2	197831741	198175897	1.55266158199e-14	<0.01
ENSG00000067066	SP100	2	231280657	231408805	4.19934322972e-09	<0.01
ENSG00000068724	TTC7A	2	47143296	47303276	3.15865099347e-11	<0.01
ENSG00000071073	MGAT4A	2	99235569	99347589	1.06299627103e-06	<0.01
ENSG00000072135	PTPN18	2	131113580	131132982	4.33030339547e-11	<0.01
ENSG00000075884	ARHGAP15	2	143848931	144525921	5.35364641717e-11	<0.01
ENSG00000079263	SP140	2	231090444	231223762	1.71109328414e-12	<0.01
ENSG00000081320	STK17B	2	196998290	197041227	1.54128033382e-11	<0.01
ENSG00000114933	INO80D	2	206858445	206951027	2.24496506056e-08	<0.01
ENSG00000114978	MOB1A	2	74382165	74406025	1.6350298934e-12	<0.01
ENSG00000115008	IL1A	2	113531492	113542167	1.25036690407e-12	<0.01
ENSG00000115009	CCL20	2	228678558	228682272	3.12730270877e-11	<0.01
ENSG00000115085	ZAP70	2	98330023	98356325	7.48863031645e-13	<0.01
ENSG00000115091	ACTR3	2	114647537	114720173	6.77605115561e-06	<0.01
ENSG00000115165	CYTIP	2	158271131	158345473	9.89587516516e-15	<0.01
ENSG00000115232	ITGA4	2	182321619	182400914	2.15159478483e-09	<0.01
ENSG00000115267	IFIH1	2	163123589	163175213	4.23379699273e-09	<0.01
ENSG00000115325	DOK1	2	74776153	74784681	6.86035270481e-12	<0.01
ENSG00000115415	STAT1	2	191829084	191885686	6.38491578837e-11	<0.01
ENSG00000115523	GNLY	2	85912298	85925977	2.7191401224e-14	<0.01
ENSG00000115590	IL1R2	2	102608306	102645006	1.92949669463e-11	<0.01
ENSG00000115594	IL1R1	2	102681004	102796334	7.9291505798e-08	<0.01
ENSG00000115604	IL18R1	2	102927989	103015218	7.66628606232e-13	<0.01
ENSG00000115607	IL18RAP	2	103035149	103069025	2.87525267992e-14	<0.01
ENSG00000115904	SOS1	2	39208537	39351486	8.15215583943e-07	<0.01
ENSG00000115919	KYNU	2	143635067	143799890	1.30624256887e-10	<0.01
ENSG00000115935	WIPF1	2	175424300	175547644	5.0712561104e-15	<0.01
ENSG00000115956	PLEK	2	68592305	68624585	9.85930868408e-13	<0.01
ENSG00000116031	CD207	2	71057347	71062952	3.5471479889e-07	<0.01
ENSG00000116044	NFE2L2	2	178092323	178257425	2.95048004536e-06	<0.01
ENSG00000116095	PLEKHA3	2	179345195	179370093	7.38421530095e-10	<0.01
ENSG00000118242	MREG	2	216807557	216898819	2.81386928267e-07	<0.01
ENSG00000118260	CREB1	2	208394461	208468155	4.57177627536e-09	<0.01
ENSG00000119729	RHOQ	2	46768945	46810260	1.55838661029e-06	<0.01
ENSG00000119844	AFTPH	2	64751465	64820139	1.31894383272e-11	<0.01
ENSG00000121966	CXCR4	2	136871919	136875735	1.65317339452e-09	<0.01
ENSG00000123609	NMI	2	152126979	152146571	1.23061179174e-08	<0.01
ENSG00000125538	IL1B	2	113587328	113594480	2.06671924268e-13	<0.01
ENSG00000125637	PSD4	2	113914902	113960814	3.80956938237e-15	<0.01
ENSG00000134321	RSAD2	2	7005937	7038370	5.93048576902e-06	<0.01
ENSG00000135898	GPR55	2	231772033	231825781	9.94197199391e-13	<0.01
ENSG00000135899	SP110	2	231032009	231090444	1.99126110583e-12	<0.01
ENSG00000135905	DOCK10	2	225629807	225907162	7.56232500182e-13	<0.01
ENSG00000135932	CAB39	2	231577560	231685790	1.21803420183e-09	<0.01
ENSG00000136560	TANK	2	161993419	162092732	2.83323214064e-12	<0.01
ENSG00000136688	IL36G	2	113730780	113743220	1.173670904e-08	<0.01
ENSG00000136689	IL1RN	2	113864791	113891593	4.61614562121e-12	<0.01
ENSG00000136732	GYPC	2	127413509	127454246	1.55968750313e-08	<0.01
ENSG00000138061	CYP1B1	2	38294116	38337044	6.90547497063e-07	<0.01
ENSG00000138378	STAT4	2	191894302	192016322	3.18209610858e-14	<0.01
ENSG00000138386	NAB1	2	191511472	191557492	2.99927869796e-07	<0.01
ENSG00000142327	RNPEPL1	2	241505221	241518149	1.76959771268e-06	<0.01
ENSG00000143889	HNRPLL	2	38789120	38830728	1.53421254188e-08	<0.01
ENSG00000143970	ASXL2	2	25960557	26101385	9.21805072086e-09	<0.01
ENSG00000144045	DQX1	2	74745258	74753463	2.85374273408e-06	<0.01
ENSG00000144130	NT5DC4	2	113479063	113500456	8.34527956856e-11	<0.01
ENSG00000145063	ENSG00000145063	2	11239977	11272896	6.3265779682e-07	<0.01
ENSG00000151687	ANKAR	2	190539016	190625919	2.74211599318e-12	<0.01
ENSG00000151689	INPP1	2	191208196	191236391	8.29808497625e-07	<0.01
ENSG00000151694	ADAM17	2	9628615	9695921	4.00271805906e-08	<0.01
ENSG00000152056	AP1S3	2	224616403	224702744	5.06543719936e-06	<0.01
ENSG00000153094	BCL2L11	2	111876955	111924587	5.31041353571e-08	<0.01
ENSG00000153563	CD8A	2	87011729	87035519	1.24088383715e-11	<0.01
ENSG00000158050	DUSP2	2	96808905	96811179	6.24969118765e-12	<0.01
ENSG00000158125	XDH	2	31557187	31637581	5.37642734431e-06	<0.01
ENSG00000159399	HK2	2	75061108	75120486	2.16608998274e-07	<0.01
ENSG00000162924	REL	2	61108656	61150645	7.71138041854e-12	<0.01
ENSG00000163219	ARHGAP25	2	68906733	69053965	2.02720225462e-11	<0.01
ENSG00000163464	CXCR1	2	219027568	219031725	1.98528916786e-08	<0.01
ENSG00000163466	ARPC2	2	219081817	219119079	2.56035710383e-06	<0.01
ENSG00000163599	CTLA4	2	204732509	204738683	2.08051713059e-13	<0.01
ENSG00000163600	ICOS	2	204801471	204826300	5.05360673198e-14	<0.01
ENSG00000163795	ZNF513	2	27600098	27603657	1.61522335202e-07	<0.01
ENSG00000168918	INPP5D	2	233924677	234116549	7.32756964004e-15	<0.01
ENSG00000169554	ZEB2	2	145121063	145282147	1.59413805148e-07	<0.01
ENSG00000169994	MYO7B	2	128293378	128395304	4.21852525675e-08	<0.01
ENSG00000170340	B3GNT2	2	62423248	62451866	1.14987615473e-07	<0.01
ENSG00000170802	FOXN2	2	48541776	48606434	1.9037753759e-07	<0.01
ENSG00000172073	C2orf51	2	88824169	88829102	1.80452913933e-06	<0.01
ENSG00000172086	KRCC1	2	88326724	88355248	5.98274157733e-07	<0.01
ENSG00000172116	CD8B	2	87042462	87089047	8.72094233609e-11	<0.01
ENSG00000173166	RAPH1	2	204259068	204400133	2.9132161938e-07	<0.01
ENSG00000173559	OBFC2A	2	192542794	192553251	2.46544696851e-13	<0.01
ENSG00000173567	GPR113	2	26531041	26569685	5.00249510299e-09	<0.01
ENSG00000173744	AGFG1	2	228336868	228421384	3.09894653826e-09	<0.01
ENSG00000173960	UBXN2A	2	24150155	24227779	1.01383010649e-10	<0.01
ENSG00000178562	CD28	2	204571198	204602557	1.50730132484e-11	<0.01
ENSG00000178623	GPR35	2	241544848	241570676	2.63675581458e-16	<0.01
ENSG00000179833	SERTAD2	2	64858755	64977449	4.44642096123e-06	<0.01
ENSG00000184898	RBM43	2	152104454	152118393	8.37742000338e-07	<0.01
ENSG00000185404	SP140L	2	231191899	231268447	2.51483988543e-08	<0.01
ENSG00000187605	TET3	2	74229840	74329698	3.37178038299e-06	<0.01
ENSG00000188042	ARL4C	2	235401685	235405697	3.03241495833e-07	<0.01
ENSG00000188389	PDCD1	2	242792033	242801060	1.18351965441e-12	<0.01
ENSG00000196843	ARID5A	2	97202480	97218375	3.18876615677e-11	<0.01
ENSG00000197329	PELI1	2	64319786	64371588	4.34197881353e-08	<0.01
ENSG00000198399	ITSN2	2	24425733	24583583	4.25545157483e-10	<0.01
ENSG00000198885	ITPRIPL1	2	96991069	96994091	5.03141014089e-09	<0.01
ENSG00000217702	ENSG00000217702	2	74361599	74362521	3.46475536099e-08	<0.01
ENSG00000221843	C2orf16	2	27799389	27805588	3.35422644173e-09	<0.01
ENSG00000224137	ENSG00000224137	2	208527099	208531748	6.42737142457e-07	<0.01
ENSG00000224559	ENSG00000224559	2	132394598	132407188	3.33960051906e-10	<0.01
ENSG00000227403	ENSG00000227403	2	162101250	162105561	1.18086439152e-09	<0.01
ENSG00000227418	PCGEM1	2	193614571	193641625	1.00514124705e-09	<0.01
ENSG00000234877	ENSG00000234877	2	78825037	78826532	4.82769530975e-11	<0.01
ENSG00000234902	ENSG00000234902	2	208051441	208100790	4.01415499951e-11	<0.01
ENSG00000236790	LINC00299	2	8147901	8523751	6.10016122351e-08	<0.01
ENSG00000237940	ENSG00000237940	2	242912834	242919427	7.84999671529e-10	<0.01
ENSG00000238062	ENSG00000238062	2	231849083	231860747	8.1028043566e-09	<0.01
ENSG00000240350	ENSG00000240350	2	112248850	112268567	1.2697435795e-11	<0.01
ENSG00000240687	ENSG00000240687	2	9778901	9789568	6.01522500353e-08	<0.01
ENSG00000243819	ENSG00000243819	2	10831664	10831957	2.19400135003e-08	<0.01
ENSG00000012223	LTF	3	46477136	46526724	5.78109279664e-09	<0.01
ENSG00000031081	ARHGAP31	3	119013220	119139561	1.6109710215e-11	<0.01
ENSG00000041880	PARP3	3	51976361	51982883	1.14854500213e-12	<0.01
ENSG00000053524	MCF2L2	3	182895831	183146566	9.30428954929e-10	<0.01
ENSG00000058063	ATP11B	3	182511288	182639423	1.69242966745e-08	<0.01
ENSG00000073849	ST6GAL1	3	186648274	186796341	6.12529930818e-15	<0.01
ENSG00000078081	LAMP3	3	182840001	182881627	4.71143461112e-12	<0.01
ENSG00000091181	IL5RA	3	3111233	3168297	9.83310773151e-14	<0.01
ENSG00000091317	CMTM6	3	32522804	32544900	4.27299370427e-10	<0.01
ENSG00000092345	DAZL	3	16628299	16711813	9.52296239034e-09	<0.01
ENSG00000113916	BCL6	3	187439165	187463515	3.0101227062e-09	<0.01
ENSG00000114013	CD86	3	121774213	121839983	6.33303690263e-12	<0.01
ENSG00000114124	GRK7	3	141496990	141537332	4.1615092186e-08	<0.01
ENSG00000114423	CBLB	3	105374305	105588396	3.06429058946e-09	<0.01
ENSG00000114541	FRMD4B	3	69219141	69591734	6.22202514436e-11	<0.01
ENSG00000114737	CISH	3	50643921	50649262	6.12966551355e-14	<0.01
ENSG00000114738	MAPKAPK3	3	50648951	50686720	1.3612590861e-18	<0.01
ENSG00000114861	FOXP1	3	71003844	71633140	6.470028886e-08	<0.01
ENSG00000121594	CD80	3	119243140	119278449	4.27280625541e-14	<0.01
ENSG00000121797	CCRL2	3	46448654	46451014	1.46188190356e-11	<0.01
ENSG00000121858	TNFSF10	3	172223298	172241297	8.23326235507e-10	<0.01
ENSG00000131370	SH3BP5	3	15296360	15382875	5.68018650748e-11	<0.01
ENSG00000131378	RFTN1	3	16357352	16555533	3.55977146602e-13	<0.01
ENSG00000133657	ATP13A3	3	194123401	194219093	6.06560490399e-09	<0.01
ENSG00000134070	IRAK2	3	10206549	10285427	1.16507471407e-11	<0.01
ENSG00000134107	BHLHE40	3	5020801	5027008	2.08699873628e-09	<0.01
ENSG00000134109	EDEM1	3	5229331	5261642	8.31577195959e-09	<0.01
ENSG00000136059	VILL	3	38029550	38048679	1.37715183025e-08	<0.01
ENSG00000138468	SENP7	3	101043049	101232085	4.00772558626e-10	<0.01
ENSG00000138496	PARP9	3	122246806	122283424	1.41591051079e-12	<0.01
ENSG00000144655	CSRNP1	3	39183346	39196053	5.44590452982e-10	<0.01
ENSG00000144802	NFKBIZ	3	101546835	101579866	6.51275932277e-12	<0.01
ENSG00000144815	FAM55C	3	101498046	101547073	8.00771788601e-13	<0.01
ENSG00000144843	ADPRH	3	119298115	119308792	1.6208002315e-16	<0.01
ENSG00000152492	CCDC50	3	191046866	191116459	5.91170104072e-12	<0.01
ENSG00000152601	MBNL1	3	151961617	152183569	1.14704079191e-16	<0.01
ENSG00000153283	CD96	3	111260926	111384597	2.54884260078e-13	<0.01
ENSG00000153551	CMTM7	3	32433163	32524559	2.26149763523e-11	<0.01
ENSG00000154165	GPR15	3	98250743	98251960	1.04725566454e-15	<0.01
ENSG00000154822	PLCL2	3	16844159	17132094	1.70628042162e-08	<0.01
ENSG00000155903	RASA2	3	141205889	141334184	1.14284170719e-09	<0.01
ENSG00000157014	TATDN2	3	10289707	10327480	6.31239493385e-11	<0.01
ENSG00000160791	CCR5	3	46411633	46417697	5.44591369131e-13	<0.01
ENSG00000160796	NBEAL2	3	47021173	47051193	1.19215773139e-15	<0.01
ENSG00000163412	EIF4E3	3	71728440	71803924	2.86346225625e-13	<0.01
